 LENS_DIA (um),LENS_F (um),PDMS_LENS_DET (um),DET_RAD (um),BASENUMBEROFRAYS,NUMBEROFRAYS    ,Improvement
10,7.8358209,5,50,83,84,1.012048193
19.33333333,15.149253,9.666666667,50,51,61,1.196078431
28.66666666,22.462686,14.33333333,50,41,50,1.219512195
38,29.776119,19,50,28,50,1.785714286
47.33333333,37.089552,23.66666667,50,19,58,3.052631579
56.66666666,44.402985,28.33333333,50,13,64,4.923076923
66,51.716417,33,50,11,70,6.363636364
75.33333333,59.02985,37.66666667,50,11,73,6.636363636
84.66666666,66.343283,42.33333333,50,9,73,8.111111111
94,73.656716,47,50,10,74,7.4
103.3333333,80.970149,51.66666667,50,6,82,13.66666667
112.6666666,88.283582,56.33333333,50,5,81,16.2
122,95.597014,61,50,5,86,17.2
131.3333333,102.91044,65.66666667,50,4,81,20.25
140.6666666,110.22388,70.33333333,50,5,85,17
150,117.53731,75,50,3,75,25
14.66666666,11.492537,7.333333333,50,63,72,1.142857143
 EM_WAVE,0.59, AIR_GAP,20,,,
          ,,,,,,
 LENS_DIA (um),LENS_F (um),PDMS_LENS_DET (um),DET_RAD (um),BASENUMBEROFRAYS,NUMBEROFRAYS    ,Improvemet
10,7.8358209,50,5,1,0,0
19.33333333,15.149253,50,9.66666666,1,1,1
28.66666666,22.462686,50,14.3333333,4,5,1.25
38,29.776119,50,19,3,18,6
47.33333333,37.089552,50,23.6666666,4,42,10.5
56.66666666,44.402985,50,28.3333333,3,53,17.66666667
66,51.716417,50,33,5,55,11
75.33333333,59.02985,50,37.6666666,5,59,11.8
84.66666666,66.343283,50,42.3333333,5,68,13.6
94,73.656716,50,47,8,73,9.125
103.3333333,80.970149,50,51.6666666,8,74,9.25
112.6666666,88.283582,50,56.3333333,9,81,9
122,95.597014,50,61,8,89,11.125
131.3333333,102.91044,50,65.6666666,9,79,8.777777778
140.6666666,110.22388,50,70.3333333,11,81,7.363636364
150,117.53731,50,75,10,89,8.9
14.66666666,11.492537,50,7.33333333,1,0,0
 EM_WAVE,0.59, AIR_GAP,20,,,
          ,,,,,,
 LENS_DIA (um),LENS_F (um),PDMS_LENS_DET (um),DET_RAD (um),BASENUMBEROFRAYS,NUMBEROFRAYS    ,Improvement
10,7.8358209,50,50,37,42,1.135135135
19.33333333,15.149253,50,50,31,29,0.935483871
28.66666666,22.462686,50,50,20,28,1.4
38,29.776119,50,50,14,48,3.428571429
47.33333333,37.089552,50,50,12,60,5
56.66666666,44.402985,50,50,10,65,6.5
66,51.716417,50,50,10,60,6
75.33333333,59.02985,50,50,10,64,6.4
84.66666666,66.343283,50,50,9,71,7.888888889
94,73.656716,50,50,9,73,8.111111111
103.3333333,80.970149,50,50,8,74,9.25
112.6666666,88.283582,50,50,5,79,15.8
122,95.597014,50,50,5,89,17.8
131.3333333,102.91044,50,50,4,76,19
140.6666666,110.22388,50,50,4,77,19.25
150,117.53731,50,50,4,84,21
14.66666666,11.492537,50,50,32,40,1.25
 EM_WAVE,0.59, AIR_GAP,20,,,
          ,,,,,,
 LENS_DIA (um),LENS_F (um),PDMS_LENS_DET (um),DET_RAD (um),BASENUMBEROFRAYS,NUMBEROFRAYS    ,Improvement
10,7.8358209,5,5,1,2,2
19.33333333,15.149253,9.666666667,9.66666666,3,6,2
28.66666666,22.462686,14.33333333,14.3333333,4,13,3.25
38,29.776119,19,19,4,31,7.75
47.33333333,37.089552,23.66666667,23.6666666,5,47,9.4
56.66666666,44.402985,28.33333333,28.3333333,5,58,11.6
66,51.716417,33,33,4,67,16.75
75.33333333,59.02985,37.66666667,37.6666666,7,69,9.857142857
84.66666666,66.343283,42.33333333,42.3333333,7,71,10.14285714
94,73.656716,47,47,9,74,8.222222222
103.3333333,80.970149,51.66666667,51.6666666,7,83,11.85714286
112.6666666,88.283582,56.33333333,56.3333333,7,82,11.71428571
122,95.597014,61,61,8,87,10.875
131.3333333,102.91044,65.66666667,65.6666666,9,86,9.555555556
140.6666666,110.22388,70.33333333,70.3333333,10,88,8.8
150,117.53731,75,75,9,80,8.888888889
14.66666666,11.492537,7.333333333,7.33333333,1,3,3
 EM_WAVE,0.59, AIR_GAP,20,,,
          ,,,,,,
