 N_LENS, LENS_F (um), PDMS_LENS_DET (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    ,,RAY IMPROVEMENT,FLUX IMPROVEMENT
1.5,401.78571,37.5,0,0,0,0,,0,0
1.6,176.47058,37.5,3,9,0.3,0.8999999,,3,2.999999667
1.7,118.05555,37.5,4,17,0.4,1.7,,4.25,4.25
1.8,91.216216,37.5,4,34,0.4,3.4,,8.5,8.5
1.9,75.797872,37.5,4,44,0.4,4.4,,11,11
2,65.789473,37.5,4,59,0.4,5.9,,14.75,14.75
2.1,58.768656,37.5,4,66,0.4,6.6,,16.5,16.5
2.2,53.571428,37.5,4,73,0.4,7.3,,18.25,18.25
1.5,401.78571,37.5,0,0,0,0,,0,0
 EM_WAVE,0.59,AIR_GAP,2,LENS_DIA,75,DET_RAD,25,,
          ,,,,,,,,,
 N_LENS, LENS_F (um), PDMS_LENS_DET (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    ,,,
1.5,401.78571,0,0,0,0,0,,0,0
1.6,176.47058,86.02941176,2,8,0.2,0.8,,4,4
1.7,118.05555,144.4444444,2,19,0.2,1.9,,9.5,9.5
1.8,91.216216,171.2837838,2,27,0.2,2.7,,13.5,13.5
1.9,75.797872,186.7021277,2,28,0.2,2.8,,14,14
2,65.789473,196.7105263,2,30,0.2,3,,15,15
2.1,58.768656,203.7313433,2,24,0.2,2.4,,12,12
2.2,53.571428,208.9285714,2,24,0.2,2.4,,12,12
1.5,401.78571,0,0,0,0,0,,0,0
 EM_WAVE,0.59,AIR_GAP,2,LENS_DIA,75,DET_RAD,25,,
          ,,,,,,,,,
 N_LENS, LENS_F (um), PDMS_LENS_DET (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    ,,,
1.5,401.78571,0,1,1,0.09999999,0.09999999,,1,1
1.6,176.47058,86.02941176,4,9,0.4,0.8999999,,2.25,2.24999975
1.7,118.05555,144.4444444,4,20,0.4,2,,5,5
1.8,91.216216,171.2837838,4,34,0.4,3.4,,8.5,8.5
1.9,75.797872,186.7021277,4,38,0.4,3.8,,9.5,9.5
2,65.789473,196.7105263,4,45,0.4,4.5,,11.25,11.25
2.1,58.768656,203.7313433,4,43,0.4,4.3,,10.75,10.75
2.2,53.571428,208.9285714,4,47,0.4,4.7,,11.75,11.75
1.5,401.78571,0,1,1,0.09999999,0.09999999,,1,1
 EM_WAVE,0.59,AIR_GAP,2,LENS_DIA,75,DET_RAD,37.5,,
          ,,,,,,,,,
 N_LENS, LENS_F (um), PDMS_LENS_DET (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    ,,,
1.5,401.78571,37.5,2,0,0.2,0,,0,0
1.6,176.47058,37.5,4,9,0.4,0.8999999,,2.25,2.24999975
1.7,118.05555,37.5,4,19,0.4,1.9,,4.75,4.75
1.8,91.216216,37.5,5,34,0.5,3.4,,6.8,6.8
1.9,75.797872,37.5,9,45,0.8999999,4.5,,5,5.000000556
2,65.789473,37.5,9,61,0.8999999,6.1,,6.777777778,6.777778531
2.1,58.768656,37.5,9,73,0.8999999,7.3,,8.111111111,8.111112012
2.2,53.571428,37.5,9,76,0.8999999,7.6,,8.444444444,8.444445383
1.5,401.78571,37.5,2,0,0.2,0,,0,0
 EM_WAVE,0.59,AIR_GAP,2,LENS_DIA,75,DET_RAD,37.5,,
          ,,,,,,,,,
