          ,,,,,,,,,,,
 PDMS_LENS_DET (um), BASENUMBEROFRAYS, NUMBEROFRAYS    ,improvement,,,,,,,,
0,4,83,20.75,,,,,,,,
10.71428571,4,75,18.75,,,,,,,,
21.42857143,4,83,20.75,,,,,,,,
32.14285714,4,85,21.25,,,,,,,,
42.85714286,4,89,22.25,,,,,,,,
53.57142857,4,87,21.75,,,,,,,,
64.28571429,4,77,19.25,,,,,,,,
75,4,74,18.5,,,,,,,,
85.71428571,5,80,16,,,,,,,,
96.42857143,5,86,17.2,,,,,,,,
107.1428571,5,83,16.6,,,,,,,,
117.8571429,5,77,15.4,,,,,,,,
128.5714286,6,72,12,,,,,,,,
139.2857143,5,73,14.6,,,,,,,,
150,2,75,37.5,,,,,,,,
5.357142857,3,94,31.33333333,,,,,,,,
 EM_WAVE,0.59,AIR_GAP,2,LENS_DIA,150, DET_RAD,37.5,LENS_F,117.53731, N_LENS,2.1
          ,,,,,,,,,,,
