 N_LENS,N_WELL,WELL_HEIGHT,WELL_WIDTH,BASENUMBEROFRAYS,NUMBEROFRAYS    ,Improvement
1.5,1,250,200,13,1,0.076923077
1.5,1.0526315,250,200,13,5,0.384615385
1.5,1.1052631,250,200,13,9,0.692307692
1.5,1.1578947,250,200,13,10,0.769230769
1.5,1.2105263,250,200,13,14,1.076923077
1.5,1.2631578,250,200,13,16,1.230769231
1.5,1.3157894,250,200,13,18,1.384615385
1.5,1.368421,250,200,13,16,1.230769231
1.5,1.4210526,250,200,13,15,1.153846154
1.5,1.4736842,250,200,13,15,1.153846154
1.5,1.5263157,250,200,13,15,1.153846154
1.5,1.5789473,250,200,13,14,1.076923077
1.5,1.6315789,250,200,13,14,1.076923077
1.5,1.6842105,250,200,13,13,1
1.5,1.7368421,250,200,13,10,0.769230769
1.5,1.7894736,250,200,13,9,0.692307692
1.5,1.8421052,250,200,13,9,0.692307692
1.5,1.8947368,250,200,13,9,0.692307692
1.5,1.9473684,250,200,13,8,0.615384615
1.5,2,250,200,13,7,0.538461538
1.5,1.0263157,250,200,13,2,0.153846154
 EM_WAVE,0.59, LENS_DIA,150,,,
          ,,,,,,
 N_LENS,N_WELL,WELL_HEIGHT,WELL_WIDTH,BASENUMBEROFRAYS,NUMBEROFRAYS    ,Improvement
1,1.6,250,200,32,14,0.4375
1.0526315,1.6,250,200,37,47,1.27027027
1.1052631,1.6,250,200,52,60,1.153846154
1.1578947,1.6,250,200,85,89,1.047058824
1.2105263,1.6,250,200,189,192,1.015873016
1.2631578,1.6,250,200,377,345,0.915119363
1.3157894,1.6,250,200,47,38,0.808510638
1.368421,1.6,250,200,4,6,1.5
1.4210526,1.6,250,200,0,0,#DIV/0!
1.4736842,1.6,250,200,5,2,0.4
1.5263157,1.6,250,200,9,0,0
1.5789473,1.6,250,200,7,3,0.428571429
1.6315789,1.6,250,200,4,7,1.75
1.6842105,1.6,250,200,4,8,2
1.7368421,1.6,250,200,6,7,1.166666667
1.7894736,1.6,250,200,4,12,3
1.8421052,1.6,250,200,6,22,3.666666667
1.8947368,1.6,250,200,5,23,4.6
1.9473684,1.6,250,200,6,21,3.5
2,1.6,250,200,6,17,2.833333333
1.0263157,1.6,250,200,33,32,0.96969697
 EM_WAVE,0.59, LENS_DIA,150,,,
          ,,,,,,
